#stairCaseSerialID,parameterNumberToChange,initialValue,Operator to use for positive,Value to use for positive,Operator To Use for Negative,Value to Use for Negative,num of iteration for positive,num of iterations for negative,number of iterations for finish,valueToCompare,comparationOperan,numberofphases,Phase to Manipulate,Operator for conversion,Value for  converstion,flipBreakLimit,Use Border,top Border,bottom Border,Use Probability,positive Prob,Negative Prob,use inhibition,pos inhibition number,neg inhibition,FlipInhbitionNumber
1,11,1,*,1,*,1,1,1,1,0.5,>,2,1,+,0,5,FALSE,0,0,FALSE,100,100,TRUE,1,1,4
1220202,12,1.02987,/,0.8,*,0.8,1,1,1,0.5,>,2,2,+,1,5,FALSE,0.36992,0.05,FALSE,100,100,TRUE,1,1,4
1220204,12,1.0436,/,0.8,*,0.8,1,1,1,0.5,>,2,2,+,1,5,FALSE,0.36992,0.05,FALSE,100,100,TRUE,1,1,4
6020202,6,0.02272,/,0.7,*,0.7,1,1,1,0.5,>,2,2,+,0,5,FALSE,0.052942,0,FALSE,100,100,TRUE,1,1,4
6020204,6,0.02836,/,0.7,*,0.7,1,1,1,0.5,>,2,2,+,0,5,FALSE,0.052942,0,FALSE,100,100,TRUE,1,1,4
3822,38,0.00232,/,0.7,*,0.7,1,1,1,0.5,>,2,2,+,0,5,FALSE,1,0,FALSE,100,100,TRUE,1,1,4
3824,38,0.00242,/,0.7,*,0.7,1,1,1,0.5,>,2,2,+,0,5,FALSE,1,0,FALSE,100,100,TRUE,1,1,4
3020202,30,1.00255,/,0.8,*,0.8,1,1,1,0.5,>,2,2,+,0,5,FALSE,21.97,0,FALSE,100,100,TRUE,1,1,4
3020204,30,1.98864,/,0.8,*,0.8,1,1,1,0.5,>,2,2,+,0,5,FALSE,21.97,0,FALSE,100,100,TRUE,1,1,4
6010202,6,-0.01235,/,0.7,*,0.7,1,1,1,0.5,>,2,2,+,0,5,FALSE,0,-0.15435,FALSE,100,100,TRUE,1,1,4
6010204,6,-0.01281,/,0.7,*,0.7,1,1,1,0.5,>,2,2,+,0,5,FALSE,0,-0.15435,FALSE,100,100,TRUE,1,1,4
1210202,12,0.9139,/,0.8,*,0.8,1,1,1,0.5,>,2,2,+,1,5,FALSE,-0.001,-3,FALSE,100,100,TRUE,1,1,4
1210204,12,0.8987,/,0.8,*,0.8,1,1,1,0.5,>,2,2,+,1,5,FALSE,-0.001,-3,FALSE,100,100,TRUE,1,1,4
3010202,30,-11.59511,/,0.8,*,0.8,1,1,1,0.5,>,2,2,+,0,5,FALSE,0,-14.2805,FALSE,100,100,TRUE,1,1,4
3010204,30,-12.5471,/,0.8,*,0.8,1,1,1,0.5,>,2,2,+,0,5,FALSE,0,-14.2805,FALSE,100,100,TRUE,1,1,4
3812,38,-0.00232,/,0.7,*,0.7,1,1,1,0.5,>,2,2,+,0,5,FALSE,1,0,FALSE,100,100,TRUE,1,1,4
3814,38,-0.00242,/,0.7,*,0.7,1,1,1,0.5,>,2,2,+,0,5,FALSE,1,0,FALSE,100,100,TRUE,1,1,4
