#Index,TrialNumber,BlockNumber,QuestionResult,TimeOfHit,StairCaseValue,PositiveAnswersCount,NegativeAnswersCount,ConvertedValue,ConsequtiveCounter,SessionID,TimeStampStartQuestion,TimestampEndQuestion,ResponseTime,QuestionID,Phase,ProbabilityComment,InitialDirection,TimesatmpInitialDirection,Attempt
0,1,0,0,QuestionRow,,,,,,20240212-121914,121919798,121920298,0.5003939,9992,,"",0,,1
1,601029,0,0,QuestionRow,-0.3,0,1,-0.3,1,20240212-121914,121929435,121933609,4.174222,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was -0.3000000000   Staircase is -0.2100000000,0,,1
1,601029,0,0,QuestionRow,-0.21,0,2,-0.21,2,20240212-121914,121942741,121943657,0.9157619,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was -0.2100000000   Staircase is -0.1470000000,0,,1
2,601027,0,0,QuestionRow,-0.2,0,1,-0.2,3,20240212-121914,121952797,121953672,0.8744337,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was -0.2000000000   Staircase is -0.1400000000,0,,1
3,6010202,6,1,QuestionRow,-0.15,1,0,-0.15,4,20240212-121914,122002807,122003921,1.11443,88,,Positive Answer not inhibted counter is 1 from 1 reset Staircase was -0.1500000000   Staircase is -0.2142857000,0,,1
3,6010202,6,0,QuestionRow,-0.2142857,1,1,-0.2142857,5,20240212-121914,122013055,122013902,0.8469672,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was -0.2142857000   Staircase is -0.1500000000,0,,1
3,6010202,6,0,QuestionRow,-0.15,1,2,-0.15,6,20240212-121914,122023041,122023967,0.9255259,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was -0.1500000000   Staircase is -0.1050000000,0,,1
3,6010202,6,1,QuestionRow,-0.105,2,2,-0.105,7,20240212-121914,122033107,122034748,1.640734,88,,Positive Answer not inhibted counter is 1 from 1 reset Staircase was -0.1050000000   Staircase is -0.1500000000,0,,1
3,6010202,6,0,QuestionRow,-0.15,2,3,-0.15,8,20240212-121914,122043881,122044663,0.7822642,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was -0.1500000000   Staircase is -0.1050000000,0,,1
3,6010202,6,1,QuestionRow,-0.105,3,3,-0.105,9,20240212-121914,122053821,122055427,1.606718,88,,Positive Answer not inhibted counter is 1 from 1 reset Staircase was -0.1050000000   Staircase is -0.1500000000,0,,1
3,6010202,6,0,QuestionRow,-0.15,3,4,-0.15,10,20240212-121914,122104590,122105442,0.8515848,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was -0.1500000000   Staircase is -0.1050000000,0,,1
3,6010202,6,0,QuestionRow,-0.105,3,5,-0.105,11,20240212-121914,122114583,122115440,0.8570404,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was -0.1050000000   Staircase is -0.0735000000,0,,1
3,6010202,6,0,QuestionRow,-0.0735,3,6,-0.0735,12,20240212-121914,122124540,122125321,0.7811299,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was -0.0735000000   Staircase is -0.0514500000,0,,1
3,6010202,6,0,QuestionRow,-0.05145,3,7,-0.05145,13,20240212-121914,122134414,122137386,2.971705,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was -0.0514500000   Staircase is -0.0360150000,0,,1
3,6010202,6,1,QuestionRow,-0.036015,4,7,-0.036015,14,20240212-121914,122146452,122147600,1.14779,88,,Positive Answer not inhibted counter is 1 from 1 reset Staircase was -0.0360150000   Staircase is -0.0514500000,0,,1
3,6010202,6,1,QuestionRow,-0.05145,5,7,-0.05145,15,20240212-121914,122156715,122157582,0.8668452,88,,Positive Answer not inhibted counter is 1 from 1 reset Staircase was -0.0514500000   Staircase is -0.0735000000,0,,1
3,6010202,6,0,QuestionRow,-0.0735,5,8,-0.0735,16,20240212-121914,122206707,122207497,0.789826,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was -0.0735000000   Staircase is -0.0514500000,0,,1
4,99,0,NoAnswerInTime,QuestionRow,,,,,,20240212-121914,122208325,122213330,-1,50,,"",0,,1
5,602029,0,0,QuestionRow,0.3,0,1,0.3,17,20240212-121914,122222040,122223144,1.104499,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.3000000000   Staircase is 0.2100000000,0,,1
5,602029,0,0,QuestionRow,0.21,0,2,0.21,18,20240212-121914,122232281,122233175,0.8940699,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.2100000000   Staircase is 0.1470000000,0,,1
6,602027,0,0,QuestionRow,0.2,0,1,0.2,19,20240212-121914,122242336,122243624,1.287406,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.2000000000   Staircase is 0.1400000000,0,,1
7,6020202,7,0,QuestionRow,0.15,0,1,0.15,20,20240212-121914,122252747,122253670,0.9236262,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.1500000000   Staircase is 0.1050000000,0,,1
7,6020202,7,0,QuestionRow,0.105,0,2,0.105,21,20240212-121914,122302796,122303669,0.8730323,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.1050000000   Staircase is 0.0735000000,0,,1
7,6020202,7,0,QuestionRow,0.0735,0,3,0.0735,22,20240212-121914,122312783,122313500,0.7169474,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.0735000000   Staircase is 0.0514500000,0,,1
7,6020202,7,0,QuestionRow,0.05145,0,4,0.05145,23,20240212-121914,122322631,122323682,1.050743,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.0514500000   Staircase is 0.0360150000,0,,1
7,6020202,7,1,QuestionRow,0.036015,1,4,0.036015,24,20240212-121914,122332805,122334563,1.757818,88,,Positive Answer not inhibted counter is 1 from 1 reset Staircase was 0.0360150000   Staircase is 0.0514500000,0,,1
7,6020202,7,NoAnswerInTime,QuestionRow,0.05145,1,4,0.05145,25,20240212-121914,122343693,122353692,-1,88,,"",0,,1
7,6020202,7,0,QuestionRow,0.05145,1,5,0.05145,26,20240212-121914,122402397,122403474,1.077132,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.0514500000   Staircase is 0.0360150000,0,,1
7,6020202,7,0,QuestionRow,0.036015,1,6,0.036015,27,20240212-121914,122412644,122413422,0.777395,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.0360150000   Staircase is 0.0252105000,0,,1
