Study,Subject,Mcf_pR,Condition,my_thresholds,prob,Level,my_thresholds_real,max_strength,jnd_anti_log,jnd_weighted_threshold,adj_stim_val,adjusted_status,shifted_threshold,max_shifted_strength
fmri,127,-0.0344446147042087,Fast,,0.25,1,,0.78125,,,,1,,1.78125
fmri,127,-0.0344446147042087,Fast,,0.5,2,,0.78125,,,,1,,1.78125
fmri,127,-0.0344446147042087,Fast,,0.75,3,,0.78125,,,,1,,1.78125
fmri,127,-0.0344446147042087,Fast,,0.95,4,,0.78125,,,0.78125,1,1.78125,1.78125
fmri,127,0.949739269326363,Grow,,0.25,1,,0.15,,,,1,,0.15
fmri,127,0.949739269326363,Grow,,0.5,2,,0.15,,,,1,,0.15
fmri,127,0.949739269326363,Grow,,0.75,3,,0.15,,,,1,,0.15
fmri,127,0.949739269326363,Grow,,0.95,4,,0.15,,,0.15,1,0.15,0.15
fmri,127,0.507823752184904,Plant,,0.25,1,,0.15,,,,1,,0.15
fmri,127,0.507823752184904,Plant,,0.5,2,,0.15,,,,1,,0.15
fmri,127,0.507823752184904,Plant,,0.75,3,,0.15,,,,1,,0.15
fmri,127,0.507823752184904,Plant,,0.95,4,,0.15,,,0.15,1,0.15,0.15
fmri,127,0.941852844413032,Saturated,,0.25,1,,32.4625,,,,1,,32.4625
fmri,127,0.941852844413032,Saturated,,0.5,2,,32.4625,,,,1,,32.4625
fmri,127,0.941852844413032,Saturated,,0.75,3,,32.4625,,,,1,,32.4625
fmri,127,0.941852844413032,Saturated,,0.95,4,,32.4625,,,32.4625,1,32.4625,32.4625
fmri,127,0.147144254256941,Shrink,,0.25,1,,-0.21428,,,,1,,-0.21428
fmri,127,0.147144254256941,Shrink,,0.5,2,,-0.21428,,,,1,,-0.21428
fmri,127,0.147144254256941,Shrink,,0.75,3,,-0.21428,,,,1,,-0.21428
fmri,127,0.147144254256941,Shrink,,0.95,4,,-0.21428,,,-0.21428,1,-0.21428,-0.21428
fmri,127,0.981625185280102,Slow,,0.25,1,,-0.56,,,,1,,0.44
fmri,127,0.981625185280102,Slow,,0.5,2,,-0.56,,,,1,,0.44
fmri,127,0.981625185280102,Slow,,0.75,3,,-0.56,,,,1,,0.44
fmri,127,0.981625185280102,Slow,,0.95,4,,-0.56,,,-0.56,1,0.44,0.44
fmri,127,0.410711191430126,Unsaturated,,0.25,1,,-25.97,,,,1,,-25.97
fmri,127,0.410711191430126,Unsaturated,,0.5,2,,-25.97,,,,1,,-25.97
fmri,127,0.410711191430126,Unsaturated,,0.75,3,,-25.97,,,,1,,-25.97
fmri,127,0.410711191430126,Unsaturated,,0.95,4,,-25.97,,,-25.97,1,-25.97,-25.97
