X.Index,TrialNumber,BlockNumber,QuestionResult,TimeOfHit,StairCaseValue,PositiveAnswersCount,NegativeAnswersCount,ConvertedValue,ConsequtiveCounter,SessionID,TimeStampStartQuestion,TimestampEndQuestion,ResponseTime,QuestionID,Phase,ProbabilityComment,InitialDirection,TimesatmpInitialDirection,Attempt
0,1,0,0,NotAVase,,,,,,20230223-120652,120658077,120658903,0.8262979,9992,,"",-1,120658897,1
1,99,0,NoAnswerInTime,NotAVase,,,,,,20230223-120652,120659712,120704715,-1,50,,"",0,,1
2,301029,0,0,NotAVase,-33.8,0,1,-33.8,1,20230223-120652,120713034,120714211,1.177017,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was -33.8000000000   Staircase is -21.9700000000,-1,120713836,1
2,301029,0,0,NotAVase,-21.97,0,2,-21.97,2,20230223-120652,120723098,120723851,0.7535119,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was -21.9700000000   Staircase is -14.2805000000,-1,120723548,1
3,301027,0,0,NotAVase,-21.97,0,1,-21.97,3,20230223-120652,120741142,120741897,0.7551324,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was -21.9700000000   Staircase is -14.2805000000,-1,120741550,1
4,3010201,1,0,NotAVase,-14.2805,0,1,-14.2805,4,20230223-120652,120750661,120751456,0.7951053,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was -14.2805000000   Staircase is -9.2823250000,-1,120751169,1
4,3010201,1,0,NotAVase,-9.282325,0,2,-9.282325,5,20230223-120652,120800466,120801256,0.7898883,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was -9.2823250000   Staircase is -6.0335110000,-1,120800912,1
4,3010201,1,0,NotAVase,-6.033511,0,3,-6.033511,6,20230223-120652,120810008,120810908,0.8998508,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was -6.0335110000   Staircase is -3.9217820000,-1,120810574,1
4,3010201,1,0,NotAVase,-3.921782,0,4,-3.921782,7,20230223-120652,120820894,120821636,0.7419058,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was -3.9217820000   Staircase is -2.5491580000,-1,120821305,1
4,3010201,1,0,NotAVase,-2.549158,0,5,-2.549158,8,20230223-120652,120830094,120830650,0.5551131,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was -2.5491580000   Staircase is -1.6569530000,-1,120830430,1
4,3010201,1,0,NotAVase,-1.656953,0,6,-1.656953,9,20230223-120652,120839094,120839796,0.7018569,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was -1.6569530000   Staircase is -1.0770190000,-1,120839543,1
4,3010201,1,1,NotAVase,-1.077019,1,6,-1.077019,10,20230223-120652,120848367,120849091,0.72464,88,,Positive Answer not inhibted counter is 1 from 1 reset Staircase was -1.0770190000   Staircase is -1.6569520000,1,120848740,1
