TrialNumber,BlockNumber,StepNumber,ConditionCode,ConditionName,Domain,QuestionResult,ReversalPoints,StairCaseValue,TimeStampStartQuestion,TimestampEndQuestion,ResponseTime,Attempt,percent,log_percent,SCV_abs,max_strength,ReversalVal,Subject,Study,Filename
4,1,1,3010201,Unsaturated,Perception,1,0,-14.2805,120750661,120751456,0.7951053,1,100,4.61512051684126,14.2805,-14.2805,,030,unreal_05,Answers_Sub-030_Plan-JND_RunID-20230223-120652.csv
5,1,2,3010201,Unsaturated,Perception,1,0,-9.282325,120800466,120801256,0.7898883,1,65,4.18965474202643,9.282325,-14.2805,,030,unreal_05,Answers_Sub-030_Plan-JND_RunID-20230223-120652.csv
6,1,3,3010201,Unsaturated,Perception,1,0,-6.033511,120810008,120810908,0.8998508,1,42.249998249361,3.76699719290069,6.033511,-14.2805,,030,unreal_05,Answers_Sub-030_Plan-JND_RunID-20230223-120652.csv
7,1,4,3010201,Unsaturated,Perception,1,0,-3.921782,120820894,120821636,0.7419058,1,27.4624978117013,3.34858735450628,3.921782,-14.2805,,030,unreal_05,Answers_Sub-030_Plan-JND_RunID-20230223-120652.csv
8,1,5,3010201,Unsaturated,Perception,1,0,-2.549158,120830094,120830650,0.5551131,1,17.850621476839,2.93654588294412,2.549158,-14.2805,,030,unreal_05,Answers_Sub-030_Plan-JND_RunID-20230223-120652.csv
9,1,6,3010201,Unsaturated,Perception,1,0,-1.656953,120839094,120839796,0.7018569,1,11.6029060607122,2.53392742710324,1.656953,-14.2805,,030,unreal_05,Answers_Sub-030_Plan-JND_RunID-20230223-120652.csv
10,1,7,3010201,Unsaturated,Perception,0,1,-1.077019,120848367,120849091,0.72464,1,7.54188578831273,2.1449818017273,1.077019,-14.2805,1.077019,030,unreal_05,Answers_Sub-030_Plan-JND_RunID-20230223-120652.csv
11,1,8,3010201,Unsaturated,Perception,0,0,-1.656952,120858799,120859620,0.8210163,1,11.6028990581562,2.53392687147283,1.656952,-14.2805,,030,unreal_05,Answers_Sub-030_Plan-JND_RunID-20230223-120652.csv
12,1,9,3010201,Unsaturated,Perception,0,0,-2.549157,120908478,120909360,0.8819484,1,17.8506144742831,2.93654551146792,2.549157,-14.2805,,030,unreal_05,Answers_Sub-030_Plan-JND_RunID-20230223-120652.csv
13,1,10,3010201,Unsaturated,Perception,1,1,-3.92178,120918154,120919100,0.9459012,1,27.4624838065894,3.34858686245125,3.92178,-14.2805,3.92178,030,unreal_05,Answers_Sub-030_Plan-JND_RunID-20230223-120652.csv
14,1,11,3010201,Unsaturated,Perception,0,1,-2.549157,120927748,120928674,0.925817,1,17.8506144742831,2.93654551146792,2.549157,-14.2805,2.549157,030,unreal_05,Answers_Sub-030_Plan-JND_RunID-20230223-120652.csv
15,1,12,3010201,Unsaturated,Perception,0,0,-3.92178,120937339,120938192,0.8528503,1,27.4624838065894,3.34858686245125,3.92178,-14.2805,,030,unreal_05,Answers_Sub-030_Plan-JND_RunID-20230223-120652.csv
16,1,13,3010201,Unsaturated,Perception,0,0,-6.033508,120948268,120950163,1.895027,1,42.2499772416932,3.76699670717413,6.033508,-14.2805,,030,unreal_05,Answers_Sub-030_Plan-JND_RunID-20230223-120652.csv
17,1,14,3010201,Unsaturated,Perception,1,1,-9.28232,121000304,121001193,0.8887527,1,64.9999649872203,4.18965421152962,9.28232,-14.2805,9.28232,030,unreal_05,Answers_Sub-030_Plan-JND_RunID-20230223-120652.csv
18,1,15,3010201,Unsaturated,Perception,1,0,-6.033508,121010226,121010762,0.535322,1,42.2499772416932,3.76699670717413,6.033508,-14.2805,,030,unreal_05,Answers_Sub-030_Plan-JND_RunID-20230223-120652.csv
19,1,16,3010201,Unsaturated,Perception,1,0,-3.92178,121019506,121020358,0.8511302,1,27.4624838065894,3.34858686245125,3.92178,-14.2805,,030,unreal_05,Answers_Sub-030_Plan-JND_RunID-20230223-120652.csv
20,1,17,3010201,Unsaturated,Perception,0,1,-2.549157,121030546,121031656,1.109811,1,17.8506144742831,2.93654551146792,2.549157,-14.2805,2.549157,030,unreal_05,Answers_Sub-030_Plan-JND_RunID-20230223-120652.csv
24,2,1,2220201,Heavy,Nature,1,0,-9.98784,121126431,121127376,0.9445693,1,100,4.61512051684126,9.98784,-9.98784,,030,unreal_05,Answers_Sub-030_Plan-JND_RunID-20230223-120652.csv
25,2,2,2220201,Heavy,Nature,1,0,-8.489664,121136021,121136648,0.6275071,1,85,4.45434729625351,8.489664,-9.98784,,030,unreal_05,Answers_Sub-030_Plan-JND_RunID-20230223-120652.csv
