X.Index,TrialNumber,BlockNumber,QuestionResult,TimeOfHit,StairCaseValue,PositiveAnswersCount,NegativeAnswersCount,ConvertedValue,ConsequtiveCounter,SessionID,TimeStampStartQuestion,TimestampEndQuestion,ResponseTime,QuestionID,Phase,ProbabilityComment,InitialDirection,TimesatmpInitialDirection,Attempt
2,301029,0,0,NotAVase,-33.8,0,1,-33.8,1,20230223-120652,120713034,120714211,1.177017,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was -33.8000000000   Staircase is -21.9700000000,-1,120713836,1
2,301029,0,0,NotAVase,-21.97,0,2,-21.97,2,20230223-120652,120723098,120723851,0.7535119,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was -21.9700000000   Staircase is -14.2805000000,-1,120723548,1
3,301027,0,0,NotAVase,-21.97,0,1,-21.97,3,20230223-120652,120741142,120741897,0.7551324,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was -21.9700000000   Staircase is -14.2805000000,-1,120741550,1
4,3010201,1,0,NotAVase,-14.2805,0,1,-14.2805,4,20230223-120652,120750661,120751456,0.7951053,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was -14.2805000000   Staircase is -9.2823250000,-1,120751169,1
4,3010201,1,0,NotAVase,-9.282325,0,2,-9.282325,5,20230223-120652,120800466,120801256,0.7898883,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was -9.2823250000   Staircase is -6.0335110000,-1,120800912,1
4,3010201,1,0,NotAVase,-6.033511,0,3,-6.033511,6,20230223-120652,120810008,120810908,0.8998508,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was -6.0335110000   Staircase is -3.9217820000,-1,120810574,1
4,3010201,1,0,NotAVase,-3.921782,0,4,-3.921782,7,20230223-120652,120820894,120821636,0.7419058,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was -3.9217820000   Staircase is -2.5491580000,-1,120821305,1
4,3010201,1,0,NotAVase,-2.549158,0,5,-2.549158,8,20230223-120652,120830094,120830650,0.5551131,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was -2.5491580000   Staircase is -1.6569530000,-1,120830430,1
4,3010201,1,0,NotAVase,-1.656953,0,6,-1.656953,9,20230223-120652,120839094,120839796,0.7018569,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was -1.6569530000   Staircase is -1.0770190000,-1,120839543,1
4,3010201,1,1,NotAVase,-1.077019,1,6,-1.077019,10,20230223-120652,120848367,120849091,0.72464,88,,Positive Answer not inhibted counter is 1 from 1 reset Staircase was -1.0770190000   Staircase is -1.6569520000,1,120848740,1
4,3010201,1,1,NotAVase,-1.656952,2,6,-1.656952,11,20230223-120652,120858799,120859620,0.8210163,88,,Positive Answer not inhibted counter is 1 from 1 reset Staircase was -1.6569520000   Staircase is -2.5491570000,1,120859232,1
4,3010201,1,1,NotAVase,-2.549157,3,6,-2.549157,12,20230223-120652,120908478,120909360,0.8819484,88,,Positive Answer not inhibted counter is 1 from 1 reset Staircase was -2.5491570000   Staircase is -3.9217800000,1,120909000,1
4,3010201,1,0,NotAVase,-3.92178,3,7,-3.92178,13,20230223-120652,120918154,120919100,0.9459012,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was -3.9217800000   Staircase is -2.5491570000,-1,120918828,1
4,3010201,1,1,NotAVase,-2.549157,4,7,-2.549157,14,20230223-120652,120927748,120928674,0.925817,88,,Positive Answer not inhibted counter is 1 from 1 reset Staircase was -2.5491570000   Staircase is -3.9217800000,1,120928283,1
4,3010201,1,1,NotAVase,-3.92178,5,7,-3.92178,15,20230223-120652,120937339,120938192,0.8528503,88,,Positive Answer not inhibted counter is 1 from 1 reset Staircase was -3.9217800000   Staircase is -6.0335080000,1,120937928,1
4,3010201,1,1,NotAVase,-6.033508,6,7,-6.033508,16,20230223-120652,120948268,120950163,1.895027,88,,Positive Answer not inhibted counter is 1 from 1 reset Staircase was -6.0335080000   Staircase is -9.2823200000,1,120949356,1
4,3010201,1,0,NotAVase,-9.28232,6,8,-9.28232,17,20230223-120652,121000304,121001193,0.8887527,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was -9.2823200000   Staircase is -6.0335080000,-1,121000850,1
4,3010201,1,0,NotAVase,-6.033508,6,9,-6.033508,18,20230223-120652,121010226,121010762,0.535322,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was -6.0335080000   Staircase is -3.9217800000,-1,121010521,1
4,3010201,1,0,NotAVase,-3.92178,6,10,-3.92178,19,20230223-120652,121019506,121020358,0.8511302,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was -3.9217800000   Staircase is -2.5491570000,-1,121020089,1
4,3010201,1,1,NotAVase,-2.549157,7,10,-2.549157,20,20230223-120652,121030546,121031656,1.109811,88,,Positive Answer not inhibted counter is 1 from 1 reset Staircase was -2.5491570000   Staircase is -3.9217800000,1,121031202,1
6,222029,0,0,NotAVase,-13.824,0,1,-23.634,21,20230223-120652,121057342,121058700,1.358379,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was -13.8240000000   Staircase is -11.7504000000,-1,121058371,1
6,222029,0,0,NotAVase,-11.7504,0,2,-21.5604,22,20230223-120652,121107861,121108696,0.8342324,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was -11.7504000000   Staircase is -9.9878400000,-1,121108394,1
7,222027,0,0,NotAVase,-11.7504,0,1,-21.5604,23,20230223-120652,121117214,121117853,0.6388305,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was -11.7504000000   Staircase is -9.9878400000,-1,121117600,1
8,2220201,2,0,NotAVase,-9.98784,0,1,-19.79784,24,20230223-120652,121126431,121127376,0.9445693,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was -9.9878400000   Staircase is -8.4896640000,-1,121126820,1
8,2220201,2,0,NotAVase,-8.489664,0,2,-18.29966,25,20230223-120652,121136021,121136648,0.6275071,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was -8.4896640000   Staircase is -7.2162150000,-1,121136349,1
