Study,Subject,Mcf_pR,Condition,my_thresholds,prob,Level,my_thresholds_real,max_strength,jnd_anti_log,jnd_weighted_threshold,adj_stim_val,adjusted_status,shifted_threshold,max_shifted_strength
unreal_05,30,0.784385919256261,Delay,3.32416118732396,0.25,1,3.32416118732396,0.2535,26.775690267274,0.06787,0.06787,0,0.06787,0.2535
unreal_05,30,0.784385919256261,Delay,3.36294346539096,0.5,2,3.36294346539096,0.2535,27.8740557032934,0.07066,0.07066,0,0.07066,0.2535
unreal_05,30,0.784385919256261,Delay,3.40171687072252,0.75,3,3.40171687072252,0.2535,29.0155887205453,0.07355,0.07355,0,0.07355,0.2535
unreal_05,30,0.784385919256261,Delay,3.46685618578921,0.95,4,3.46685618578921,0.2535,31.0358691437078,0.07867,0.07867,0,0.07867,0.2535
unreal_05,30,0.763749433400929,Fast,3.73451130177712,0.25,1,3.73451130177712,0.36992,40.8675599606092,0.15117,0.15117,0,1.15117,1.36992
unreal_05,30,0.763749433400929,Fast,3.90226122241386,0.5,2,3.90226122241386,0.36992,48.5142854264922,0.17946,0.17946,0,1.17946,1.36992
unreal_05,30,0.763749433400929,Fast,4.07001115213728,0.75,3,4.07001115213728,0.36992,57.5576156308193,0.21291,0.21291,0,1.21291,1.36992
unreal_05,30,0.763749433400929,Fast,4.35185531160416,0.95,4,4.35185531160416,0.36992,76.6223430465561,0.28344,0.28344,0,1.28344,1.36992
unreal_05,30,0.50890739872437,Grow,2.92402191101082,0.25,1,2.92402191101082,0.05294,17.6160090289638,0.00932,0.00932,0,0.00932,0.05294
unreal_05,30,0.50890739872437,Grow,3.32164592419697,0.5,2,3.32164592419697,0.05294,26.705914886226,0.01413,0.01413,0,0.01413,0.05294
unreal_05,30,0.50890739872437,Grow,3.7192702939808,0.75,3,3.7192702939808,0.05294,40.2342942152234,0.0213,0.0213,0,0.0213,0.05294
unreal_05,30,0.50890739872437,Grow,4.38733983039607,0.95,4,4.38733983039607,0.05294,79.426186862276,0.04204,0.04204,0,0.04204,0.05294
unreal_05,30,0.914948703670057,Heavy,4.11461708752872,0.25,1,4.11461708752872,-9.98784,60.228764515904,-6.01555,-6.01555,0,-15.82555,-19.79784
unreal_05,30,0.914948703670057,Heavy,4.17061357726834,0.5,2,4.17061357726834,-9.98784,63.7551722221601,-6.36776,-6.36776,0,-16.17776,-19.79784
unreal_05,30,0.914948703670057,Heavy,4.22660835033083,0.75,3,4.22660835033083,-9.98784,67.4845621866594,-6.74025,-6.74025,0,-16.55025,-19.79784
unreal_05,30,0.914948703670057,Heavy,4.320686584393,0.95,4,4.320686584393,-9.98784,74.2402693566854,-7.41499,-7.41499,0,-17.22499,-19.79784
unreal_05,30,0.811562074765986,Light,3.64315233349938,0.25,1,3.64315233349938,4.896,37.2121043606154,1.8219,1.8219,0,-7.9881,-4.914
unreal_05,30,0.811562074765986,Light,3.74852389458014,0.5,2,3.74852389458014,4.896,41.4583627020003,2.0298,2.0298,0,-7.7802,-4.914
unreal_05,30,0.811562074765986,Light,3.85389661671053,0.75,3,3.85389661671053,4.896,46.1765344133365,2.2608,2.2608,0,-7.5492,-4.914
unreal_05,30,0.811562074765986,Light,4.03094921796266,0.95,4,4.03094921796266,4.896,55.3143404686559,2.70819,2.70819,0,-7.10181,-4.914
unreal_05,30,0.949845276235679,Ripple,3.24299896969158,0.25,1,3.24299896969158,0.05525,24.6104115426932,0.01359,0.01359,0,0.01359,0.05525
unreal_05,30,0.949845276235679,Ripple,3.3907242503736,0.5,2,3.3907242503736,0.05525,28.6874456297311,0.01584,0.01584,0,0.01584,0.05525
unreal_05,30,0.949845276235679,Ripple,3.53844964598928,0.75,3,3.53844964598928,0.05525,33.413524665356,0.01846,0.01846,0,0.01846,0.05525
unreal_05,30,0.949845276235679,Ripple,3.78665066379795,0.95,4,3.78665066379795,0.05525,43.1084186707791,0.02381,0.02381,0,0.02381,0.05525
unreal_05,30,0.941916402896501,Saturated,3.5715919236072,0.25,1,3.5715919236072,21.97,34.5731778820481,7.59572,7.59572,0,7.59572,21.97
unreal_05,30,0.941916402896501,Saturated,3.72070068260801,0.5,2,3.72070068260801,21.97,40.2933174837624,8.85244,8.85244,0,8.85244,21.97
unreal_05,30,0.941916402896501,Saturated,3.86980551841199,0.75,3,3.86980551841199,21.97,46.933063076047,10.31119,10.31119,0,10.31119,21.97
unreal_05,30,0.941916402896501,Saturated,4.12032069541543,0.95,4,4.12032069541543,21.97,60.5789871970855,13.3092,13.3092,0,13.3092,21.97
unreal_05,30,0.944442785616536,Shrink,3.78563584178416,0.25,1,3.78563584178416,-0.15434,43.0636791816674,-0.06646,-0.06646,0,-0.06646,-0.15434
unreal_05,30,0.944442785616536,Shrink,3.90884324701584,0.5,2,3.90884324701584,-0.15434,48.841264583269,-0.07538,-0.07538,0,-0.07538,-0.15434
unreal_05,30,0.944442785616536,Shrink,4.03205089313128,0.75,3,4.03205089313128,-0.15434,55.3764147657651,-0.08547,-0.08547,0,-0.08547,-0.15434
unreal_05,30,0.944442785616536,Shrink,4.23905975302688,0.95,4,4.23905975302688,-0.15434,68.342621987044,-0.10548,-0.10548,0,-0.10548,-0.15434
unreal_05,30,0.330231748417798,Unsaturated,2.59660514535115,0.25,1,2.59660514535115,-14.2805,12.4181080986673,-1.77336,-1.77336,0,-1.77336,-14.2805
unreal_05,30,0.330231748417798,Unsaturated,3.09578048421733,0.5,2,3.09578048421733,-14.2805,21.1044840076618,-3.01382,-3.01382,0,-3.01382,-14.2805
unreal_05,30,0.330231748417798,Unsaturated,3.59495582160582,0.75,3,3.59495582160582,-14.2805,35.4140912362669,-5.0573,-5.0573,0,-5.0573,-14.2805
unreal_05,30,0.330231748417798,Unsaturated,4.43364252713528,0.95,4,4.43364252713528,-14.2805,83.2376968517223,-11.88675,-11.88675,0,-11.88675,-14.2805
