#Index,TrialNumber,BlockNumber,QuestionResult,TimeOfVaseHit,StairCaseValue,PositiveAnswersCount,NegativeAnswersCount,ConvertedValue,ConsequtiveCounter,SessionID,TimeStampStartQuestion,TimestampEndQuestion,ResponseTime,QuestionID,Phase,ProbabilityComment,InitialDirection,TimesatmpInitialDirection,Attempt
0,1,0,0,NotAVase,,,,,,20220928-144210,144255418,144256129,0.710999,9992,,"",0,,1
1,33029,0,0,NotAVase,0.085,0,1,0.085,1,20220928-144210,144305922,144306717,0.7949995,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.0850000000   Staircase is 0.0637500000  ,-1,144306250,1
1,33029,0,0,NotAVase,0.06375,0,2,0.06375,2,20220928-144210,144322161,144322808,0.647,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.0637500000   Staircase is 0.0478125000  ,-1,144322465,1
2,33027,0,0,NotAVase,0.05525,0,1,0.05525,3,20220928-144210,144332253,144333152,0.8989983,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.0552500000   Staircase is 0.0386750000  ,-1,144332844,1
3,330201,1,0,NotAVase,0.0359125,0,1,0.0359125,4,20220928-144210,144342472,144343316,0.8439987,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.0359125000   Staircase is 0.0269343700  ,-1,144343001,1
3,330201,1,0,NotAVase,0.02693437,0,2,0.02693437,5,20220928-144210,144353439,144354344,0.9049981,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.0269343700   Staircase is 0.0202007800  ,-1,144354067,1
3,330201,1,0,NotAVase,0.02020078,0,3,0.02020078,6,20220928-144210,144407670,144408256,0.5859994,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.0202007800   Staircase is 0.0151505800  ,-1,144407970,1
3,330201,1,0,NotAVase,0.01515058,0,4,0.01515058,7,20220928-144210,144416970,144417495,0.5249985,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.0151505800   Staircase is 0.0113629300  ,-1,144417194,1
3,330201,1,0,NotAVase,0.01136293,0,5,0.01136293,8,20220928-144210,144426807,144427706,0.8989985,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.0113629300   Staircase is 0.0085221980  ,-1,144427418,1
3,330201,1,0,NotAVase,0.008522198,0,6,0.008522198,9,20220928-144210,144437115,144437887,0.7719999,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.0085221980   Staircase is 0.0063916480  ,-1,144437580,1
