TrialNumber,BlockNumber,StepNumber,ConditionCode,ConditionName,Domain,QuestionResult,ReversalPoints,StairCaseValue,TimeStampStartQuestion,TimestampEndQuestion,ResponseTime,Attempt,percent,log_percent,SCV_abs,max_strength,ReversalVal,Subject,Study,Filename
4,1,1,330201,Ripple,Perception,1,0,0.0359125,144342472,144343316,0.8439987,1,100,4.61512051684126,0.0359125,0.0359125,,003,wonderland,Answers_Sub-003_Plan-Wonderland_JND_RunID-20220928-144210.csv
5,1,2,330201,Ripple,Perception,1,0,0.02693437,144353439,144354344,0.9049981,1,74.9999860772712,4.33073315709251,0.02693437,0.0359125,,003,wonderland,Answers_Sub-003_Plan-Wonderland_JND_RunID-20220928-144210.csv
6,1,3,330201,Ripple,Perception,1,0,0.02020078,144407670,144408256,0.5859994,1,56.2499965193178,4.0474275816364,0.02020078,0.0359125,,003,wonderland,Answers_Sub-003_Plan-Wonderland_JND_RunID-20220928-144210.csv
7,1,4,330201,Ripple,Perception,1,0,0.01515058,144416970,144417495,0.5249985,1,42.1874834667595,3.76555071870314,0.01515058,0.0359125,,003,wonderland,Answers_Sub-003_Plan-Wonderland_JND_RunID-20220928-144210.csv
8,1,5,330201,Ripple,Perception,1,0,0.01136293,144426807,144427706,0.8989985,1,31.6405986773408,3.48555687175799,0.01136293,0.0359125,,003,wonderland,Answers_Sub-003_Plan-Wonderland_JND_RunID-20220928-144210.csv
9,1,6,330201,Ripple,Perception,1,0,0.008522198,144437115,144437887,0.7719999,1,23.7304504002785,3.20803529407586,0.008522198,0.0359125,,003,wonderland,Answers_Sub-003_Plan-Wonderland_JND_RunID-20220928-144210.csv
10,1,7,330201,Ripple,Perception,1,0,0.006391648,144504593,144505461,0.8679985,1,17.797836407936,2.9337417785289,0.006391648,0.0359125,,003,wonderland,Answers_Sub-003_Plan-Wonderland_JND_RunID-20220928-144210.csv
11,1,8,330201,Ripple,Perception,0,1,0.005,144515252,144516198,0.9459992,1,13.9227288548556,2.70288547717062,0.005,0.0359125,0.005,003,wonderland,Answers_Sub-003_Plan-Wonderland_JND_RunID-20220928-144210.csv
12,1,9,330201,Ripple,Perception,0,0,0.006666666,144525558,144526536,0.9779991,1,18.5636366167769,2.9736725684286,0.006666666,0.0359125,,003,wonderland,Answers_Sub-003_Plan-Wonderland_JND_RunID-20220928-144210.csv
13,1,10,330201,Ripple,Perception,1,1,0.008888888,144539120,144540260,1.139999,1,24.7515154890359,3.24849347932106,0.008888888,0.0359125,0.008888888,003,wonderland,Answers_Sub-003_Plan-Wonderland_JND_RunID-20220928-144210.csv
14,1,11,330201,Ripple,Perception,1,0,0.006666666,144552148,144552982,0.8339982,1,18.5636366167769,2.9736725684286,0.006666666,0.0359125,,003,wonderland,Answers_Sub-003_Plan-Wonderland_JND_RunID-20220928-144210.csv
15,1,12,330201,Ripple,Perception,0,1,0.005,144603552,144604986,1.433998,1,13.9227288548556,2.70288547717062,0.005,0.0359125,0.005,003,wonderland,Answers_Sub-003_Plan-Wonderland_JND_RunID-20220928-144210.csv
16,1,13,330201,Ripple,Perception,1,1,0.006666666,144614397,144615275,0.8779977,1,18.5636366167769,2.9736725684286,0.006666666,0.0359125,0.006666666,003,wonderland,Answers_Sub-003_Plan-Wonderland_JND_RunID-20220928-144210.csv
17,1,14,330201,Ripple,Perception,1,0,0.005,144624178,144625046,0.8680001,1,13.9227288548556,2.70288547717062,0.005,0.0359125,,003,wonderland,Answers_Sub-003_Plan-Wonderland_JND_RunID-20220928-144210.csv
18,1,15,330201,Ripple,Perception,0,1,0.005,144635963,144636932,0.9689985,1,13.9227288548556,2.70288547717062,0.005,0.0359125,0.005,003,wonderland,Answers_Sub-003_Plan-Wonderland_JND_RunID-20220928-144210.csv
22,2,1,2210101,Light,Nature,1,0,4.1616,145212097,145212425,0.3279999,1,100,4.61512051684126,4.1616,4.1616,,003,wonderland,Answers_Sub-003_Plan-Wonderland_JND_RunID-20220928-144210.csv
23,2,2,2210101,Light,Nature,1,0,3.74544,145220797,145222011,1.213998,1,90,4.51085950651685,3.74544,4.1616,,003,wonderland,Answers_Sub-003_Plan-Wonderland_JND_RunID-20220928-144210.csv
24,2,3,2210101,Light,Nature,1,0,3.370896,145231211,145232414,1.202998,1,81,4.40671924726425,3.370896,4.1616,,003,wonderland,Answers_Sub-003_Plan-Wonderland_JND_RunID-20220928-144210.csv
25,2,4,2210101,Light,Nature,1,0,3.033806,145243841,145244519,0.6779987,1,72.8999903883122,4.30271269789071,3.033806,4.1616,,003,wonderland,Answers_Sub-003_Plan-Wonderland_JND_RunID-20220928-144210.csv
26,2,5,2210101,Light,Nature,1,0,2.730425,145253081,145253493,0.4119986,1,65.6099817377932,4.19885444225891,2.730425,4.1616,,003,wonderland,Answers_Sub-003_Plan-Wonderland_JND_RunID-20220928-144210.csv
27,2,6,2210101,Light,Nature,1,0,2.457382,145303841,145304432,0.5910054,1,59.0489715494041,4.09516042180821,2.457382,4.1616,,003,wonderland,Answers_Sub-003_Plan-Wonderland_JND_RunID-20220928-144210.csv
28,2,7,2210101,Light,Nature,1,0,2.211644,145314308,145316944,2.635996,1,53.1440792003076,3.99164862675433,2.211644,4.1616,,003,wonderland,Answers_Sub-003_Plan-Wonderland_JND_RunID-20220928-144210.csv
29,2,8,2210101,Light,Nature,0,1,1.990479,145326455,145327005,0.5500002,1,47.8296568627451,3.88833785086774,1.990479,4.1616,1.990479,003,wonderland,Answers_Sub-003_Plan-Wonderland_JND_RunID-20220928-144210.csv
30,2,9,2210101,Light,Nature,1,1,2.211643,145336108,145336999,0.8909985,1,53.144055171088,3.9916481829528,2.211643,4.1616,2.211643,003,wonderland,Answers_Sub-003_Plan-Wonderland_JND_RunID-20220928-144210.csv
31,2,10,2210101,Light,Nature,0,1,1.990479,145345704,145346442,0.7379982,1,47.8296568627451,3.88833785086774,1.990479,4.1616,1.990479,003,wonderland,Answers_Sub-003_Plan-Wonderland_JND_RunID-20220928-144210.csv
32,2,11,2210101,Light,Nature,1,1,2.211643,145355365,145356136,0.7709969,1,53.144055171088,3.9916481829528,2.211643,4.1616,2.211643,003,wonderland,Answers_Sub-003_Plan-Wonderland_JND_RunID-20220928-144210.csv
33,2,12,2210101,Light,Nature,1,0,1.990479,145404826,145405310,0.4839991,1,47.8296568627451,3.88833785086774,1.990479,4.1616,,003,wonderland,Answers_Sub-003_Plan-Wonderland_JND_RunID-20220928-144210.csv
34,2,13,2210101,Light,Nature,1,0,1.791431,145414168,145414840,0.6719987,1,43.0466887735486,3.78525017983033,1.791431,4.1616,,003,wonderland,Answers_Sub-003_Plan-Wonderland_JND_RunID-20220928-144210.csv
35,2,14,2210101,Light,Nature,1,0,1.612288,145427195,145428150,0.9549995,1,38.7420222991157,3.68240912408044,1.612288,4.1616,,003,wonderland,Answers_Sub-003_Plan-Wonderland_JND_RunID-20220928-144210.csv
36,2,15,2210101,Light,Nature,0,1,1.451059,145436747,145437481,0.734,1,34.8678152633603,3.5798403826182,1.451059,4.1616,1.451059,003,wonderland,Answers_Sub-003_Plan-Wonderland_JND_RunID-20220928-144210.csv
40,3,1,290201,Delay,Self,1,0,0.2535,145829928,145830791,0.862999,1,100,4.61512051684126,0.2535,0.2535,,003,wonderland,Answers_Sub-003_Plan-Wonderland_JND_RunID-20220928-144210.csv
41,3,2,290201,Delay,Self,1,0,0.190125,145842160,145843115,0.9549982,1,75,4.33073334028633,0.190125,0.2535,,003,wonderland,Answers_Sub-003_Plan-Wonderland_JND_RunID-20220928-144210.csv
