X.Index,TrialNumber,BlockNumber,QuestionResult,TimeOfVaseHit,StairCaseValue,PositiveAnswersCount,NegativeAnswersCount,ConvertedValue,ConsequtiveCounter,SessionID,TimeStampStartQuestion,TimestampEndQuestion,ResponseTime,QuestionID,Phase,ProbabilityComment,InitialDirection,TimesatmpInitialDirection,Attempt
0,1,0,0,NotAVase,,,,,,20221117-153358,153502255,153502816,0.5610002,9992,,"",0,,1
1,101,0,NoAnswerInTime,NotAVase,,,,,,20221117-153358,153503607,153513611,-1,101,,"",0,,1
2,29019,0,0,NotAVase,0.6,0,1,0.6,1,20221117-153358,153614289,153617216,2.927002,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.6000000000   Staircase is 0.4500000000,-1,153616171,1
2,29019,0,1,NotAVase,0.45,1,1,0.45,2,20221117-153358,153728368,153730562,2.194002,88,,Positive Answer not inhibted counter is 1 from 1 reset Staircase was 0.4500000000   Staircase is 0.6000000000,1,153729946,1
3,29017,0,0,NotAVase,0.39,0,1,0.39,3,20221117-153358,153741261,153742579,1.318,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.3900000000   Staircase is 0.2730000000,-1,153742156,1
4,290101,1,1,NotAVase,0.2535,1,0,0.2535,4,20221117-153358,153829895,153831457,1.562,88,,Positive Answer not inhibted counter is 1 from 1 reset failed top border check Staircase was 0.2535000000   Staircase is 0.2535000000,1,153830706,1
4,290101,1,0,NotAVase,0.2535,1,1,0.2535,5,20221117-153358,153841856,153847395,5.539003,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.2535000000   Staircase is 0.1901250000,-1,153843322,1
4,290101,1,1,NotAVase,0.190125,2,1,0.190125,6,20221117-153358,153857782,153900877,3.095776,88,,Positive Answer not inhibted counter is 1 from 1 reset Staircase was 0.1901250000   Staircase is 0.2535000000,1,153858686,1
4,290101,1,0,NotAVase,0.2535,2,2,0.2535,7,20221117-153358,153911019,153914149,3.130002,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.2535000000   Staircase is 0.1901250000,-1,153912909,1
4,290101,1,1,NotAVase,0.190125,3,2,0.190125,8,20221117-153358,153924114,153926864,2.750001,88,,Positive Answer not inhibted counter is 1 from 1 reset Staircase was 0.1901250000   Staircase is 0.2535000000,1,153925855,1
