Study,Subject,Mcf_pR,Condition,my_thresholds,prob,Level,my_thresholds_real,max_strength,jnd_anti_log,jnd_weighted_threshold,adj_stim_val,adjusted_status,shifted_threshold,max_shifted_strength
wonderland,32,0.94070525445019,Delay,4.53477283196761,0.25,1,4.53477283196761,0.2535,92.2023403071119,0.23373,0.23373,0,0.23373,0.2535
wonderland,32,0.94070525445019,Delay,4.62795344480402,0.5,2,4.62795344480402,0.2535,101.304477957894,0.2568,0.2568,1,0.2568,0.2535
wonderland,32,0.94070525445019,Delay,4.72113407176028,0.75,3,4.72113407176028,0.2535,111.295531673681,0.28213,0.25515,1,0.25515,0.2535
wonderland,32,0.94070525445019,Delay,4.87769107192576,0.95,4,4.87769107192576,0.2535,130.327088751995,0.33037,0.2535,1,0.2535,0.2535
wonderland,32,0.898658776874741,Light,4.44297051995745,0.25,1,4.44297051995745,4.1616,84.0271417271568,3.49687,3.49687,0,-6.31313,-5.6484
wonderland,32,0.898658776874741,Light,4.47891542051174,0.5,2,4.47891542051174,4.1616,87.1390270365391,3.62637,3.62637,0,-6.18363,-5.6484
wonderland,32,0.898658776874741,Light,4.51485978171216,0.75,3,4.51485978171216,4.1616,90.3647541147865,3.76061,3.76061,0,-6.04939,-5.6484
wonderland,32,0.898658776874741,Light,4.57525114986552,0.95,4,4.57525114986552,4.1616,96.0524107762531,3.99731,3.99731,0,-5.81269,-5.6484
wonderland,32,0.876212300645875,Ripple,4.01199904472477,0.25,1,4.01199904472477,0.03591,54.2572218860173,0.01948,0.01948,0,0.01948,0.03591
wonderland,32,0.876212300645875,Ripple,4.03786435877737,0.5,2,4.03786435877737,0.03591,55.7051116244738,0.02,0.02,0,0.02,0.03591
wonderland,32,0.876212300645875,Ripple,4.06372967596791,0.75,3,4.06372967596791,0.03591,57.1909402008436,0.02053,0.02053,0,0.02053,0.03591
wonderland,32,0.876212300645875,Ripple,4.10718715969383,0.95,4,4.10718715969383,0.03591,59.7755250673728,0.02146,0.02146,0,0.02146,0.03591
