TrialNumber,BlockNumber,Run,StepNumber,ConditionCode,ConditionName,QuestionResult,ReversalPoints,StairCaseValue
4,1,1,1,2210101,Low Gravity,0,0,4.1616
5,1,1,2,2210101,Low Gravity,0,0,4.1616
6,1,1,3,2210101,Low Gravity,0,0,4.1616
7,1,1,4,2210101,Low Gravity,0,0,4.1616
8,1,1,5,2210101,Low Gravity,1,1,4.1616
9,1,1,6,2210101,Low Gravity,1,0,3.74544
10,1,1,7,2210101,Low Gravity,1,0,3.370896
11,1,1,8,2210101,Low Gravity,0,1,3.033806
12,1,1,9,2210101,Low Gravity,0,0,3.370896
13,1,1,10,2210101,Low Gravity,1,1,3.74544
14,1,1,11,2210101,Low Gravity,0,1,3.370896
15,1,1,12,2210101,Low Gravity,0,0,3.74544
16,1,1,13,2210101,Low Gravity,0,0,4.1616
17,1,1,14,2210101,Low Gravity,1,1,4.1616
21,2,1,1,330201,Ripple,1,0,0.0359125
22,2,1,2,330201,Ripple,1,0,0.02693437
23,2,1,3,330201,Ripple,1,0,0.02020078
24,2,1,4,330201,Ripple,1,0,0.01515058
25,2,1,5,330201,Ripple,1,0,0.01136293
26,2,1,6,330201,Ripple,1,0,0.008522198
27,2,1,7,330201,Ripple,1,0,0.006391648
28,2,1,8,330201,Ripple,0,1,0.005
29,2,1,9,330201,Ripple,0,0,0.006666666
30,2,1,10,330201,Ripple,0,0,0.008888888
31,2,1,11,330201,Ripple,0,0,0.01185185
32,2,1,12,330201,Ripple,0,0,0.01580247
33,2,1,13,330201,Ripple,0,0,0.02106996
34,2,1,14,330201,Ripple,0,0,0.02809328
35,2,1,15,330201,Ripple,0,0,0.0359125
36,2,1,16,330201,Ripple,0,0,0.0359125
37,2,1,17,330201,Ripple,1,1,0.0359125
38,2,1,18,330201,Ripple,0,1,0.02693437
39,2,1,19,330201,Ripple,0,0,0.0359125
40,2,1,20,330201,Ripple,0,0,0.0359125
41,2,1,21,330201,Ripple,0,0,0.0359125
42,2,1,22,330201,Ripple,1,1,0.0359125
43,2,1,23,330201,Ripple,1,0,0.02693437
44,2,1,24,330201,Ripple,0,1,0.02020078
48,3,1,1,290201,Delay,1,0,0.2535
49,3,1,2,290201,Delay,1,0,0.190125
50,3,1,3,290201,Delay,1,0,0.1425938
51,3,1,4,290201,Delay,1,0,0.1069454
52,3,1,5,290201,Delay,1,0,0.08020905
53,3,1,6,290201,Delay,1,0,0.06015678
54,3,1,7,290201,Delay,1,0,0.04511759
55,3,1,8,290201,Delay,1,0,0.03383819
56,3,1,9,290201,Delay,1,0,0.02537864
57,3,1,10,290201,Delay,1,0,0.01903398
58,3,1,11,290201,Delay,1,0,0.01427548
59,3,1,12,290201,Delay,1,0,0.01070661
60,3,1,13,290201,Delay,1,0,0.01
61,3,1,14,290201,Delay,1,0,0.01
62,3,1,15,290201,Delay,1,0,0.01
63,3,1,16,290201,Delay,1,0,0.01
64,3,1,17,290201,Delay,1,0,0.01
65,3,1,18,290201,Delay,1,0,0.01
66,3,1,19,290201,Delay,1,0,0.01
67,3,1,20,290201,Delay,0,1,0.01
68,3,1,21,290201,Delay,0,0,0.01333333
69,3,1,22,290201,Delay,0,0,0.01777777
70,3,1,23,290201,Delay,0,0,0.02370369
71,3,1,24,290201,Delay,0,0,0.03160492
72,3,1,25,290201,Delay,0,0,0.04213989
