#Index,TrialNumber,BlockNumber,QuestionResult,TimeOfVaseHit,StairCaseValue,PositiveAnswersCount,NegativeAnswersCount,ConvertedValue,ConsequtiveCounter,SessionID,TimeStampStartQuestion,TimestampEndQuestion,ResponseTime,QuestionID,Phase,ProbabilityComment,InitialDirection,TimesatmpInitialDirection,Attempt
0,1,0,0,NotAVase,,,,,,20221209-140504,140526676,140526856,0.1794209,9992,,"",0,,1
1,29019,0,0,NotAVase,0.6,0,1,0.6,1,20221209-140504,140538084,140542975,4.891044,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.6000000000   Staircase is 0.4500000000,-1,140541145,1
1,29019,0,0,NotAVase,0.45,0,2,0.45,2,20221209-140504,140603562,140606030,2.468185,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.4500000000   Staircase is 0.3375000000,-1,140604252,1
2,29017,0,0,NotAVase,0.39,0,1,0.39,3,20221209-140504,140617848,140621512,3.664105,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.3900000000   Staircase is 0.2730000000,-1,140621273,1
3,290101,1,1,NotAVase,0.2535,1,0,0.2535,4,20221209-140504,140634529,140636194,1.665601,88,,Positive Answer not inhibted counter is 1 from 1 reset failed top border check Staircase was 0.2535000000   Staircase is 0.2535000000,1,140636168,1
3,290101,1,1,NotAVase,0.2535,2,0,0.2535,5,20221209-140504,140645166,140646352,1.186237,88,,Positive Answer not inhibted counter is 1 from 1 reset failed top border check Staircase was 0.2535000000   Staircase is 0.2535000000,1,140646173,1
3,290101,1,1,NotAVase,0.2535,3,0,0.2535,6,20221209-140504,140656268,140657291,1.022665,88,,Positive Answer not inhibted counter is 1 from 1 reset failed top border check Staircase was 0.2535000000   Staircase is 0.2535000000,1,140657068,1
3,290101,1,0,NotAVase,0.2535,3,1,0.2535,7,20221209-140504,140707149,140710557,3.407903,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.2535000000   Staircase is 0.1901250000,-1,140710219,1
3,290101,1,1,NotAVase,0.190125,4,1,0.190125,8,20221209-140504,140720935,140721593,0.6572654,88,,Positive Answer not inhibted counter is 1 from 1 reset Staircase was 0.1901250000   Staircase is 0.2535000000,1,140721364,1
3,290101,1,1,NotAVase,0.2535,5,1,0.2535,9,20221209-140504,140731508,140732221,0.7133477,88,,Positive Answer not inhibted counter is 1 from 1 reset failed top border check Staircase was 0.2535000000   Staircase is 0.2535000000,1,140732090,1
3,290101,1,0,NotAVase,0.2535,5,2,0.2535,10,20221209-140504,140741681,140742420,0.7388144,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.2535000000   Staircase is 0.1901250000,-1,140742171,1
3,290101,1,0,NotAVase,0.190125,5,3,0.190125,11,20221209-140504,140751987,140755237,3.249988,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.1901250000   Staircase is 0.1425938000,-1,140754963,1
3,290101,1,0,NotAVase,0.1425938,5,4,0.1425938,12,20221209-140504,140804592,140806821,2.229119,88,,Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.1425938000   Staircase is 0.1069454000,-1,140806602,1
