TrialNumber,BlockNumber,Run,StepNumber,ConditionCode,ConditionName,QuestionResult,ReversalPoints,StairCaseValue
4,1,1,1,290101,Delay,0,0,0.2535
5,1,1,2,290101,Delay,0,0,0.2535
6,1,1,3,290101,Delay,0,0,0.2535
7,1,1,4,290101,Delay,1,0,0.2535
8,1,1,5,290101,Delay,0,1,0.190125
9,1,1,6,290101,Delay,0,0,0.2535
10,1,1,7,290101,Delay,1,1,0.2535
11,1,1,8,290101,Delay,1,0,0.190125
12,1,1,9,290101,Delay,1,0,0.1425938
13,1,1,10,290101,Delay,1,0,0.1069454
14,1,1,11,290101,Delay,0,1,0.08020905
15,1,1,12,290101,Delay,0,0,0.1069454
16,1,1,13,290101,Delay,0,0,0.1425939
17,1,1,14,290101,Delay,0,0,0.1901252
18,1,1,15,290101,Delay,0,0,0.2535
19,1,1,16,290101,Delay,0,0,0.2535
20,1,1,17,290101,Delay,0,0,0.2535
21,1,1,18,290101,Delay,1,1,0.2535
22,1,1,19,290101,Delay,0,1,0.190125
26,2,1,1,2210101,Low Gravity,1,0,4.1616
27,2,1,2,2210101,Low Gravity,0,0,3.74544
28,2,1,3,2210101,Low Gravity,0,0,4.1616
29,2,1,4,2210101,Low Gravity,1,0,4.1616
30,2,1,5,2210101,Low Gravity,1,0,3.74544
31,2,1,6,2210101,Low Gravity,0,1,3.370896
32,2,1,7,2210101,Low Gravity,0,0,3.74544
33,2,1,8,2210101,Low Gravity,1,1,4.1616
34,2,1,9,2210101,Low Gravity,0,1,3.74544
35,2,1,10,2210101,Low Gravity,1,1,4.1616
36,2,1,11,2210101,Low Gravity,0,1,3.74544
40,3,1,1,330201,Ripple,1,0,0.0359125
41,3,1,2,330201,Ripple,0,0,0.02693437
42,3,1,3,330201,Ripple,1,0,0.0359125
43,3,1,4,330201,Ripple,1,0,0.02693437
44,3,1,5,330201,Ripple,1,0,0.02020078
45,3,1,6,330201,Ripple,1,0,0.01515058
46,3,1,7,330201,Ripple,0,1,0.01136293
47,3,1,8,330201,Ripple,0,0,0.01515057
48,3,1,9,330201,Ripple,1,1,0.02020076
49,3,1,10,330201,Ripple,1,0,0.01515057
50,3,1,11,330201,Ripple,0,1,0.01136293
51,3,1,12,330201,Ripple,0,0,0.01515057
52,3,1,13,330201,Ripple,0,0,0.02020076
53,3,1,14,330201,Ripple,1,1,0.02693435
54,3,1,15,330201,Ripple,0,1,0.02020076
