Condition,prob,my_thresholds,Mcf_pR
Delay,0.25,3.76555751134432,0.99987688924339
Delay,0.5,3.79740697665328,0.99987688924339
Delay,0.75,3.82925553600006,0.99987688924339
Delay,0.95,3.88276518114682,0.99987688924339
Light,0.25,4.58138018953727,0.947824794772262
Light,0.5,4.61593531246972,0.947824794772262
Light,0.75,4.65049155571947,0.947824794772262
Light,0.95,4.70856165923424,0.947824794772262
Ripple,0.25,4.0275825507362,0.985785663243636
Ripple,0.5,4.05969222444898,0.985785663243636
Ripple,0.75,4.09180125252222,0.985785663243636
Ripple,0.95,4.14576260171051,0.985785663243636
